id	ts	dur	category	name	track_id	track_name	thread_name	utid	tid	process_name	upid	pid	depth	parent_id	arg_set_id
27836	339193278420000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$31.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27843	339193278437000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27852	339193278490000	6000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$32.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27859	339193278506000	10000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27868	339193278558000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$33.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27875	339193278575000	11000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	3	26962	369
27884	339193278629000	7000	null	vad.dashing.tbox.SettingsManager$special$$inlined$map$34.<init>: (Lkotlinx/coroutines/flow/Flow;)V	0	null	main	1	909	null	null	null	3	26962	367
27891	339193278858000	21000	null	vad.dashing.tbox.TboxApplication$onCreate$1.<init>: (Lvad/dashing/tbox/SettingsManager;Lvad/dashing/tbox/AppDataManager;Lkotlin/coroutines/Continuation;)V	0	null	main	1	909	null	null	null	2	24876	219
28147	339193282733000	40000	null	vad.dashing.tbox.TboxApplication$onCreate$1.create: (Ljava/lang/Object;Lkotlin/coroutines/Continuation;)Lkotlin/coroutines/Continuation;	0	null	main	1	909	null	null	null	10	28142	219
28148	339193282744000	27000	null	vad.dashing.tbox.TboxApplication$onCreate$1.<init>: (Lvad/dashing/tbox/SettingsManager;Lvad/dashing/tbox/AppDataManager;Lkotlin/coroutines/Continuation;)V	0	null	main	1	909	null	null	null	11	28147	219
28397	339193285621000	15683000	null	vad.dashing.tbox.TboxApplication$onCreate$1.invokeSuspend: (Ljava/lang/Object;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	10	28393	219
28418	339193286288000	15013000	null	vad.dashing.tbox.SettingsManager.migrateSelectedTabIndexIfNeeded: (Lkotlin/coroutines/Continuation;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	11	28397	369
28419	339193286321000	49000	null	vad.dashing.tbox.SettingsManager$migrateSelectedTabIndexIfNeeded$1.<init>: (Lvad/dashing/tbox/SettingsManager;Lkotlin/coroutines/Continuation;)V	0	null	main	1	909	null	null	null	12	28418	369
28428	339193286388000	50000	null	vad.dashing.tbox.SettingsKt.getSettingsDataStore: (Landroid/content/Context;)Landroidx/datastore/core/DataStore;	0	null	main	1	909	null	null	null	12	28418	369
68324	339193466610000	837000	null	vad.dashing.tbox.SettingsManager$migrateSelectedTabIndexIfNeeded$1.invokeSuspend: (Ljava/lang/Object;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	10	67860	369
68325	339193466620000	825000	null	vad.dashing.tbox.SettingsManager.migrateSelectedTabIndexIfNeeded: (Lkotlin/coroutines/Continuation;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	11	68324	369
68424	339193467467000	2524000	null	vad.dashing.tbox.TboxApplication$onCreate$1.invokeSuspend: (Ljava/lang/Object;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	10	67860	219
68427	339193467474000	5000	null	vad.dashing.tbox.AppDataManager.getMotorHoursFlow: ()Lkotlinx/coroutines/flow/Flow;	0	null	main	1	909	null	null	null	11	68424	295
68448	339193467699000	2283000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$1.collect: (Lkotlinx/coroutines/flow/FlowCollector;Lkotlin/coroutines/Continuation;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	14	68443	367
68449	339193467810000	9000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$1$2.<init>: (Lkotlinx/coroutines/flow/FlowCollector;)V	0	null	main	1	909	null	null	null	15	68448	471
83173	339193509502000	747000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$1$2.emit: (Ljava/lang/Object;Lkotlin/coroutines/Continuation;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	15	83172	471
83213	339193509618000	44000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$1$2$1.<init>: (Lvad/dashing/tbox/AppDataManager$special$$inlined$map$1$2;Lkotlin/coroutines/Continuation;)V	0	null	main	1	909	null	null	null	16	83173	47
83229	339193509671000	19000	null	vad.dashing.tbox.AppDataManager.access$getMOTOR_HOURS_KEY$cp: ()Landroidx/datastore/preferences/core/Preferences$Key;	0	null	main	1	909	null	null	null	16	83173	295
83440	339193510433000	2291000	null	vad.dashing.tbox.TboxApplication$onCreate$1.invokeSuspend: (Ljava/lang/Object;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	10	82969	219
83444	339193510548000	53000	null	vad.dashing.tbox.CarDataRepository.<clinit>: ()V	0	null	main	1	909	null	null	null	11	83440	472
83445	339193510556000	5000	null	vad.dashing.tbox.CarDataRepository.<init>: ()V	0	null	main	1	909	null	null	null	12	83444	472
83459	339193510604000	90000	null	vad.dashing.tbox.CarDataRepository.setMotorHours: (F)V	0	null	main	1	909	null	null	null	11	83440	472
83492	339193510695000	4000	null	vad.dashing.tbox.CarDataRepository.markPersisted: (F)V	0	null	main	1	909	null	null	null	11	83440	472
83493	339193510701000	4000	null	vad.dashing.tbox.AppDataManager.getTripsJsonFlow: ()Lkotlinx/coroutines/flow/Flow;	0	null	main	1	909	null	null	null	11	83440	295
83514	339193510755000	1959000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$2.collect: (Lkotlinx/coroutines/flow/FlowCollector;Lkotlin/coroutines/Continuation;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	14	83509	367
83515	339193510926000	8000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$2$2.<init>: (Lkotlinx/coroutines/flow/FlowCollector;)V	0	null	main	1	909	null	null	null	15	83514	471
85903	339193515726000	638000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$2$2.emit: (Ljava/lang/Object;Lkotlin/coroutines/Continuation;)Ljava/lang/Object;	0	null	main	1	909	null	null	null	15	85899	471
85904	339193515830000	23000	null	vad.dashing.tbox.AppDataManager$special$$inlined$map$2$2$1.<init>: (Lvad/dashing/tbox/AppDataManager$special$$inlined$map$2$2;Lkotlin/coroutines/Continuation;)V	0	null	main	1	909	null	null	null	16	85903	47
85912	339193515862000	7000	null	vad.dashing.tbox.AppDataManager.access$getTRIPS_JSON_KEY$cp: ()Landroidx/datastore/preferences/core/Preferences$Key;	0	null	main	1	909	null	null	null	16	85903	295
